"dbms","table_catelog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema","table_name","column_name"
postgresql,Production.backoffice,backoffice,public.ACC_Account,HostId,5,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,IsUnsecuredLoan,71,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,IDLPStatus,65,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,VAP_CST,48,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,DebitOrderModeId,52,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ConsultantApproveBy,56,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,CloseDate,27,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,PersonId,4,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,RepoRateFactor,69,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,OpenDate,26,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,DiscountAmount,37,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,RepoRate,68,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,PaidDate,35,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,HandoverDate,39,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,AccountTypeId,3,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,IsUnderPaymentPlan,53,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,newbranchid,75,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,StatusChangeDate,24,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ParentFlashLoanAccountId,67,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,CompanyId,55,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,PeriodFrequencyId,16,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,CreatedBy,29,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,InstalmentAmount,17,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,FirstInstalmentDate,25,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,assignedconsultantid,76,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,RewardAmount,60,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,VAT_VAP_CST,50,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,CapitalAmount,10,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ManagerApproveBy,57,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ReferralAmount,62,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,RepaymentAmount,46,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,TotalTopUpAmount,8,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ThirdPartyPayoutAmount,12,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,AccountId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,AccountBalance,13,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ConsultantApproveDate,58,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,InterestRate,14,real,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ClientId,47,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,CreateDate,28,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,DaysInArrears,74,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,LoanType,34,character,1,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,TotalFees,9,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,GCRecord,31,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,StatusSubReasonId,20,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,StatusReasonId,19,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ServerIpAddress,64,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,IsReferred,61,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ManagerApproveDate,59,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,OptimisticLockField,30,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,RepoRateAdjustment,70,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,VapCancelId,72,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,FUN_CST,49,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,BranchId,33,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,Period,15,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,PayoutAmount,11,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ProductId,54,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,VapCancelStatus,73,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,RollOverAccountId,44,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,IDLDDate,66,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,HandoverDueDate,40,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,HandoverServiceFee,41,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,LoanAmount,7,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,NumOfInstalments,18,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ExcludeFromPHO,43,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,DisbursementModeId,51,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,NewStatusId,32,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,NLREnquiryReferenceNo,21,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ExcludePHOLoanReasonCode,42,character varying,10,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,IsNLRRegistered,23,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,LoanEndDate,45,date,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,HandoverAmount,38,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,LoanStateReasonCode,36,character varying,10,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,NLRRegistrationNo,22,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,ClientIpAddress,63,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,StatusId,6,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Account,AccountNo,2,character varying,13,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,pAN,4,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,DebitOrderId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,IsCancel,15,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,CreateDate,13,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,ServiceProvider,25,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,accountType,8,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,CancelDate,18,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,IsExist,14,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,IsVAPCancel,26,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,frequency,11,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,IsAdhoc,23,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,responseCode,3,character varying,1000,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,contractAmount,6,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,tracking,9,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,AccountId,2,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,IsExternalMandate,24,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,RequestTransactionId,21,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,ThirdPartyCancel,22,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,ContractNumber,16,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,transactionID,12,character varying,1000,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,adjRule,10,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,approvalCode,5,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,Response,20,text,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,Request,19,text,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,accountNumber,7,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_DebitOrder,ServiceType,17,character varying,20,,,,
postgresql,Production.backoffice,backoffice,public.ACC_LoanStateReason,Description,2,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_LoanStateReason,OptimisticLockField,3,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_LoanStateReason,GCRecord,4,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_LoanStateReason,Code,1,character varying,10,,,,
postgresql,Production.backoffice,backoffice,public.ACC_LoanStateReason,Saccra_Code,5,character,1,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatus,PaymentStatusDescription,2,character varying,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatus,PaymentStatusDescription,2,character varying,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatus,PaymentStatusId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatus,PaymentStatusId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatusHistory,RunDate,5,date,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatusHistory,AccountPaymentStatus,3,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatusHistory,PaymentStatusHistoryId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatusHistory,RunId,4,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatusHistory,PersonId,6,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PaymentStatusHistory,AccountId,2,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PeriodFrequency,PeriodFrequencyId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PeriodFrequency,VapCancelCoolingPeriod,6,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PeriodFrequency,QuantityFrequencyInMonth,4,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PeriodFrequency,DaysInOneTerm,5,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PeriodFrequency,PeriodLength,3,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_PeriodFrequency,Description,2,character varying,20,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,VAP_Funeral,17,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,Noofdays,3,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,AutoRepaymentStatus,29,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,Totalinstallment,9,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,InitiationFee_WithoutVAT,25,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,PaymentModeId,20,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,OptimisticLockField,14,integer,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,Installment,8,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,ServiceVATAmount,24,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,VAP_Tax,18,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,Remaningbalance,10,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,VAP,12,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,IsAdhoc,31,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,InitiationVATAmount,23,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,PaidDate,21,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,ServiceFee_WithoutVAT,26,numeric,,,,,
postgresql,Production.backoffice,backoffice,public.ACC_Schedules,Premium,7,numeric,,,,,
