"ClientCategory","nre_status","OpenMonth","count"
,Existing Client,"202401",28053
,New,"202401",8065
,Existing Client,"202402",29772
,New,"202402",7384
,Existing Client,"202403",35492
,New,"202403",7649
,Existing Client,"202404",32730
,New,"202404",8035
,Existing Client,"202405",33330
,New,"202405",8258
,Existing Client,"202406",33838
,New,"202406",8034
Existing Client,Existing Client,"202407",25590
Existing Client,New,"202407",4
New Clients,New,"202407",5460
,Existing Client,"202407",9973
,New,"202407",3328
Existing Client,Existing Client,"202408",36594
Existing Client,New,"202408",4
New Clients,New,"202408",8166
Existing Client,Existing Client,"202409",31059
Existing Client,New,"202409",8
New Clients,New,"202409",7459
,Existing Client,"202409",5
Existing Client,Existing Client,"202410",34308
Existing Client,New,"202410",7
New Clients,Existing Client,"202410",1
New Clients,New,"202410",8536
,Existing Client,"202410",1
Existing Client,Existing Client,"202411",35620
Existing Client,New,"202411",3
New Clients,New,"202411",9342
Existing Client,Existing Client,"202412",38893
Existing Client,New,"202412",7
New Clients,Existing Client,"202412",1
New Clients,New,"202412",9625
Existing Client,Existing Client,"202501",29589
Existing Client,New,"202501",9
New Clients,Existing Client,"202501",1
New Clients,New,"202501",7614
,Existing Client,"202501",1
Existing Client,Existing Client,"202502",30738
Existing Client,New,"202502",3
New Clients,New,"202502",6079
Existing Client,Existing Client,"202503",36969
Existing Client,New,"202503",5
New Clients,New,"202503",6188
Existing Client,Existing Client,"202504",33074
Existing Client,New,"202504",1
New Clients,New,"202504",6426
Existing Client,Existing Client,"202505",35148
Existing Client,New,"202505",6
New Clients,New,"202505",7027
Existing Client,Existing Client,"202506",32013
Existing Client,New,"202506",1
New Clients,Existing Client,"202506",1
New Clients,New,"202506",6341
Existing Client,Existing Client,"202507",16375
Existing Client,New,"202507",5
New Clients,Existing Client,"202507",1
New Clients,New,"202507",4460
,Existing Client,"202507",1574
,New,"202507",488
