"OverDue_Segment","OpenMonth","count"
"120+","202401",126
"120+","202402",249
"120+","202403",414
"120+","202404",494
"120+","202405",613
"120+","202406",718
"120+","202407",844
"120+","202408",832
"120+","202409",645
"120+","202410",774
"120+","202411",621
"120+","202412",448
"120+","202501",152
"120+","202502",63
"1-30","202403",6
"1-30","202404",36
"1-30","202405",119
"1-30","202406",235
"1-30","202407",548
"1-30","202408",842
"1-30","202409",1126
"1-30","202410",1852
"1-30","202411",2810
"1-30","202412",2855
"1-30","202501",1529
"1-30","202502",1783
"1-30","202503",2695
"1-30","202504",3130
"1-30","202505",4086
"1-30","202506",1349
"31-60","202402",3
"31-60","202403",6
"31-60","202404",28
"31-60","202405",53
"31-60","202406",125
"31-60","202407",220
"31-60","202408",237
"31-60","202409",294
"31-60","202410",387
"31-60","202411",625
"31-60","202412",822
"31-60","202501",582
"31-60","202502",850
"31-60","202503",1612
"31-60","202504",2257
"31-60","202505",997
"61-90","202401",3
"61-90","202402",2
"61-90","202403",24
"61-90","202404",24
"61-90","202405",53
"61-90","202406",134
"61-90","202407",267
"61-90","202408",645
"61-90","202409",753
"61-90","202410",936
"61-90","202411",1280
"61-90","202412",1870
"61-90","202501",1282
"61-90","202502",1587
"61-90","202503",2532
"61-90","202504",851
"91-120","202401",11
"91-120","202402",51
"91-120","202403",181
"91-120","202404",399
"91-120","202405",823
"91-120","202406",1794
"91-120","202407",3918
"91-120","202408",4788
"91-120","202409",4237
"91-120","202410",4737
"91-120","202411",5159
"91-120","202412",5464
"91-120","202501",3080
"91-120","202502",2236
"91-120","202503",890
Current,"202401",95
Current,"202402",140
Current,"202403",278
Current,"202404",578
Current,"202405",981
Current,"202406",2588
Current,"202407",5069
Current,"202408",7959
Current,"202409",10884
Current,"202410",14259
Current,"202411",27467
Current,"202412",32151
Current,"202501",24998
Current,"202502",24333
Current,"202503",28893
Current,"202504",28448
Current,"202505",31207
Current,"202506",31483
Current,"202507",2740
Debt Review,"202401",130
Debt Review,"202402",122
Debt Review,"202403",219
Debt Review,"202404",198
Debt Review,"202405",222
Debt Review,"202406",261
Debt Review,"202407",270
Debt Review,"202408",352
Debt Review,"202409",259
Debt Review,"202410",308
Debt Review,"202411",233
Debt Review,"202412",318
Debt Review,"202501",215
Debt Review,"202502",130
Debt Review,"202503",123
Debt Review,"202504",108
Debt Review,"202505",100
Debt Review,"202506",22
Never-Segmented,"202411",6477
New,"202411",293
New,"202412",4598
New,"202501",5376
New,"202502",5838
New,"202503",6417
New,"202504",4707
New,"202505",5791
New,"202506",5502
New,"202507",20163
Pre-Segmentation,"202401",35753
Pre-Segmentation,"202402",36589
Pre-Segmentation,"202403",42013
Pre-Segmentation,"202404",39008
Pre-Segmentation,"202405",38724
Pre-Segmentation,"202406",36017
Pre-Segmentation,"202407",33219
Pre-Segmentation,"202408",29109
Pre-Segmentation,"202409",20333
Pre-Segmentation,"202410",19600
