"OpenMonth","ServiceProvider","count"
"202001",NUPAY,3852
"202001",,1
"202002",NUPAY,3816
"202002",,1
"202003",NUPAY,3376
"202004",NUPAY,2082
"202005",NUPAY,4016
"202006",NUPAY,8705
"202006",,3
"202007",NUPAY,12460
"202007",,14
"202008",NUPAY,11094
"202008",,22
"202009",NUPAY,11570
"202009",,34
"202010",NUPAY,14619
"202010",,20
"202011",NUPAY,23420
"202011",,14
"202012",NUPAY,29009
"202012",,9
"202101",NUPAY,20229
"202101",,11
"202102",NUPAY,24248
"202102",,15
"202103",NUPAY,31386
"202103",,15
"202104",NUPAY,29053
"202104",,16
"202105",NUPAY,29956
"202105",,15
"202106",NUPAY,30162
"202106",,8
"202107",NUPAY,29189
"202107",,9
"202108",NUPAY,30201
"202108",,15
"202109",NUPAY,33031
"202109",,11
"202110",NUPAY,35352
"202110",,15
"202111",NUPAY,36750
"202111",,9
"202112",NUPAY,43814
"202112",,8
"202201",NUPAY,25530
"202201",,13
"202202",NUPAY,28743
"202202",,7
"202203",NUPAY,34999
"202203",,21
"202204",NUPAY,32947
"202204",,11
"202205",NUPAY,33399
"202205",,31
"202206",NUPAY,33653
"202206",,23
"202207",NUPAY,34820
"202207",,104
"202208",NUPAY,35788
"202208",,43
"202209",NUPAY,34444
"202209",,108
"202210",NUPAY,36116
"202210",,29
"202211",NUPAY,35884
"202211",REALPAY,1
"202211",,62
"202212",NUPAY,43056
"202212",REALPAY,2
"202212",,111
"202301",NUPAY,30088
"202301",,67
"202302",NUPAY,28352
"202302",,73
"202303",NUPAY,35948
"202303",,119
"202304",NUPAY,33233
"202304",REALPAY,3
"202304",,35
"202305",NUPAY,36814
"202305",REALPAY,1
"202305",,152
"202306",NUPAY,39335
"202306",REALPAY,4
"202306",,70
"202307",NUPAY,38379
"202307",REALPAY,3
"202307",,47
"202308",NUPAY,38503
"202308",REALPAY,8
"202308",,7
"202309",NUPAY,39234
"202309",REALPAY,28
"202309",,32
"202310",NUPAY,40495
"202310",REALPAY,54
"202310",,25
"202311",NUPAY,41199
"202311",REALPAY,863
"202311",,31
"202312",NUPAY,50395
"202312",REALPAY,348
"202312",,24
"202401",NUPAY,35762
"202401",REALPAY,334
"202401",,22
"202402",NUPAY,36715
"202402",REALPAY,420
"202402",,21
"202403",NUPAY,42691
"202403",REALPAY,421
"202403",,29
"202404",NUPAY,40495
"202404",REALPAY,239
"202404",,31
"202405",NUPAY,41182
"202405",REALPAY,366
"202405",,40
"202406",NUPAY,41392
"202406",REALPAY,443
"202406",,37
"202407",NUPAY,43782
"202407",REALPAY,527
"202407",,46
"202408",NUPAY,44313
"202408",REALPAY,424
"202408",,27
"202409",NUPAY,38198
"202409",REALPAY,301
"202409",,32
"202410",NUPAY,42467
"202410",REALPAY,355
"202410",,31
"202411",NUPAY,41462
"202411",REALPAY,3464
"202411",,39
"202412",NUPAY,44268
"202412",REALPAY,4221
"202412",,37
"202501",NUPAY,33708
"202501",REALPAY,3453
"202501",,53
"202502",NUPAY,33262
"202502",REALPAY,3534
"202502",,24
"202503",NUPAY,39109
"202503",REALPAY,4034
"202503",,19
"202504",NUPAY,34711
"202504",REALPAY,4767
"202504",,23
"202505",NUPAY,36440
"202505",REALPAY,5718
"202505",,23
"202506",NUPAY,33254
"202506",REALPAY,5085
"202506",,17
"202507",NUPAY,18389
"202507",REALPAY,4506
"202507",,8
