"OPENMONTH","LOAN_TERM","LOAN_SIZE","AGEINMONTHS","TOTAL_ACCOUNTS","TOTAL_IN_ARREARS"
"202402","2","5001 - 6000",7,45,9
"202506","7","8001 - 9000",1,2,1
"202408","1","5001 - 6000",3,552,55
"202401","2","5001 - 6000",6,22,1
"202412","4","7001 - 8000",5,4276,1831
"202410","3","4001 - 5000",3,842,269
"202405","3",   0 - 1000,4,13,2
"202502","8","9001 - 10000",1,225,12
"202501","5","5001 - 6000",3,3,1
"202407","3","7001 - 8000",4,680,247
"202401","4","3001 - 4000",2,1076,243
"202406","2","4001 - 5000",2,64,12
"202412","3","4001 - 5000",2,1263,394
"202504","2","2001 - 3000",3,72,9
"202412","6","2001 - 3000",1,123,13
General,"6","6001 - 7000",8,4587,1860
"202412","2",   0 - 1000,3,5,3
General,"4","2001 - 3000",2,13024,2506
"202409","3","2001 - 3000",3,896,217
"202410","2","2001 - 3000",6,143,24
"202410","6","2001 - 3000",3,88,24
"202406","4","4001 - 5000",2,1368,341
"202412","2","5001 - 6000",4,35,15
"202401","2","2001 - 3000",6,164,31
General,"1","6001 - 7000",2,3763,463
"202407","2",   0 - 1000,5,14,3
"202405","2","6001 - 7000",7,18,5
"202412","2","3001 - 4000",5,72,17
General,"3","4001 - 5000",4,14024,4160
"202407","4","3001 - 4000",1,1430,181
"202502","7","7001 - 8000",2,1,0
"202402","3","4001 - 5000",4,697,185
"202405","5","2001 - 3000",4,1,0
"202404","3","5001 - 6000",4,503,160
"202412","8","7001 - 8000",4,1,0
"202404","1",   0 - 1000,8,3031,278
"202410","3","5001 - 6000",1,687,103
"202410","3",   0 - 1000,4,6,1
"202406","5","3001 - 4000",7,5,2
"202501","2","5001 - 6000",2,21,4
"202404","5","3001 - 4000",1,7,0
"202408","6","3001 - 4000",8,279,88
"202404","4","4001 - 5000",6,1308,453
"202410","2","1001 - 2000",3,168,28
"202409","4","7001 - 8000",7,3425,1360
"202501","1","1001 - 2000",4,6989,756
"202405","1","3001 - 4000",4,2297,289
"202408","5","2001 - 3000",3,3,0
"202409","7","8001 - 9000",2,1,0
"202408","8","8001 - 9000",2,20,3
"202502","1","4001 - 5000",5,1304,136
General,"1",   0 - 1000,3,50989,5120
"202407","1",   0 - 1000,3,3073,346
"202404","1","4001 - 5000",7,1018,106
"202403","2","6001 - 7000",3,13,3
"202410","3","3001 - 4000",8,990,314
General,"6","5001 - 6000",6,7795,2956
"202402","4","7001 - 8000",2,3393,912
"202501","2",   0 - 1000,4,12,1
"202408","6","6001 - 7000",6,383,165
"202409","1","1001 - 2000",3,6800,712
"202403","5","7001 - 8000",2,15,5
"202410","6","1001 - 2000",3,31,6
"202406","6","6001 - 7000",1,363,36
"202411","3","2001 - 3000",2,1122,303
"202502","7","8001 - 9000",1,1,0
"202408","6","5001 - 6000",4,685,227
"202501","6","2001 - 3000",1,75,3
"202502","4","5001 - 6000",2,681,170
"202408","3",   0 - 1000,5,10,1
"202402","6","1001 - 2000",3,56,4
"202401","6","1001 - 2000",7,65,15
"202411","6","3001 - 4000",3,199,54
"202408","2","7001 - 8000",1,130,3
"202411","7","9001 - 10000",6,167,53
"202412","5","3001 - 4000",6,2,0
"202403","3",   0 - 1000,6,6,2
"202503","1","2001 - 3000",1,5363,606
"202503","6","1001 - 2000",3,37,7
"202412","5","5001 - 6000",2,1,1
"202405","3","5001 - 6000",5,530,166
"202412","1","6001 - 7000",6,251,52
"202409","8","8001 - 9000",4,18,4
"202406","7","9001 - 10000",6,215,59
"202501","4",   0 - 1000,5,2,0
"202506","7","9001 - 10000",1,127,5
"202409","3",   0 - 1000,2,10,4
"202409","4","6001 - 7000",8,749,334
"202402","2","4001 - 5000",7,58,8
"202501","6","3001 - 4000",4,203,50
"202411","6","7001 - 8000",3,2801,936
"202401","8","10000 +",3,525,126
"202401","6","6001 - 7000",1,308,26
"202407","8","9001 - 10000",6,446,208
General,"4","2001 - 3000",1,13697,1255
"202502","3",   0 - 1000,3,8,2
"202401","6","4001 - 5000",2,529,79
"202409","1",   0 - 1000,8,2629,237
"202408","4","4001 - 5000",2,1428,330
"202501","6",   0 - 1000,5,1,0
"202503","6","3001 - 4000",3,214,51
"202401","6","5001 - 6000",5,535,182
"202503","1","4001 - 5000",4,1333,124
"202504","3","1001 - 2000",2,553,83
"202405","4","1001 - 2000",6,344,104
"202506","4","2001 - 3000",2,540,77
"202411","8","8001 - 9000",5,45,14
General,"1","4001 - 5000",6,16304,1854
General,"1","4001 - 5000",7,15000,1718
"202403","2","5001 - 6000",4,50,12
"202407","3","1001 - 2000",7,468,116
"202408","3","5001 - 6000",1,565,111
"202403","5","3001 - 4000",7,3,1
"202412","3","6001 - 7000",6,414,165
"202403","4","2001 - 3000",7,939,252
"202402","5","2001 - 3000",5,2,0
"202503","4","1001 - 2000",5,189,51
"202403","8","10000 +",1,1107,64
"202405","6","7001 - 8000",4,2655,867
"202503","6","5001 - 6000",1,487,56
"202411","4","7001 - 8000",4,3678,1815
"202501","5","6001 - 7000",1,2,0
"202408","5","4001 - 5000",3,6,0
"202502","4","3001 - 4000",2,739,140
"202409","3","6001 - 7000",8,260,84
"202403","7","8001 - 9000",3,2,0
"202411","4","5001 - 6000",3,1047,476
"202412","3","2001 - 3000",6,1291,373
"202407","1","4001 - 5000",6,1199,138
"202411","1","4001 - 5000",1,1436,193
"202401","7","10000 +",8,42,11
"202406","2","4001 - 5000",3,64,12
"202505","1","1001 - 2000",2,7752,795
"202408","3","3001 - 4000",2,877,195
"202503","3","5001 - 6000",3,752,234
"202404","7","10000 +",2,145,20
"202405","1","7001 - 8000",4,599,65
"202406","2",   0 - 1000,7,18,3
"202501","6","4001 - 5000",2,368,57
General,"4","7001 - 8000",3,57969,20408
"202401","2","4001 - 5000",6,75,13
"202501","6","6001 - 7000",7,225,79
"202501","4","3001 - 4000",4,822,257
"202411","8","8001 - 9000",4,45,14
"202411","2","4001 - 5000",8,41,11
"202405","2","4001 - 5000",2,68,9
"202410","6","4001 - 5000",8,398,150
"202404","1","1001 - 2000",4,7380,797
"202411","1",   0 - 1000,2,2870,284
"202405","3","6001 - 7000",1,255,48
"202404","5","4001 - 5000",4,8,4
"202506","8","7001 - 8000",2,3,1
"202404","5","1001 - 2000",5,2,0
"202409","6","5001 - 6000",3,479,134
"202505","2","5001 - 6000",3,19,4
"202410","6","1001 - 2000",6,31,12
"202412","3","5001 - 6000",1,790,178
"202411","3","5001 - 6000",3,706,265
"202407","3",   0 - 1000,2,14,3
"202407","5","7001 - 8000",4,10,6
"202404","2","1001 - 2000",8,239,28
"202408","3","4001 - 5000",8,861,258
"202403","5","1001 - 2000",4,1,0
"202410","4","5001 - 6000",3,1142,461
"202504","6","6001 - 7000",2,277,59
"202505","4","5001 - 6000",3,928,286
"202401","8","8001 - 9000",8,11,5
"202406","5","6001 - 7000",7,3,2
"202402","4","3001 - 4000",8,1127,351
"202411","4","5001 - 6000",6,1047,508
"202409","6","4001 - 5000",7,443,164
"202412","1","3001 - 4000",4,2982,490
"202412","1","4001 - 5000",5,1493,230
"202408","6","3001 - 4000",1,279,20
"202403","1","3001 - 4000",8,2121,212
General,"3","2001 - 3000",8,12143,3142
"202504","7","9001 - 10000",4,114,18
"202402","4","6001 - 7000",3,626,226
"202411","4","3001 - 4000",8,1042,435
General,"6",   0 - 1000,8,2,2
General,"8","8001 - 9000",5,337,119
"202505","3","2001 - 3000",2,1226,255
"202407","1","5001 - 6000",1,532,64
"202407","8","10000 +",8,1323,636
General,"7","5001 - 6000",1,2,0
"202412","8","9001 - 10000",4,491,157
"202401","1","7001 - 8000",2,452,40
General,"5","1001 - 2000",5,17,5
"202412","3","7001 - 8000",4,1298,461
"202402","5","7001 - 8000",6,11,3
"202502","8","8001 - 9000",2,23,5
"202501","3","1001 - 2000",7,418,83
"202405","2","4001 - 5000",6,68,9
"202412","4","4001 - 5000",6,1322,577
"202502","6","1001 - 2000",5,26,4
"202504","1","5001 - 6000",4,458,46
"202409","3","6001 - 7000",2,260,72
"202406","4","3001 - 4000",5,1297,433
"202409","1","4001 - 5000",5,1066,107
"202401","6","4001 - 5000",4,529,131
"202402","3","3001 - 4000",7,672,182
"202408","3","3001 - 4000",8,877,235
"202503","5","7001 - 8000",4,11,3
"202501","4","6001 - 7000",2,397,105
"202503","2","7001 - 8000",3,74,11
"202401","8","8001 - 9000",1,11,0
"202407","3","4001 - 5000",8,823,246
"202405","3","7001 - 8000",8,730,223
General,"3","5001 - 6000",2,10463,3103
"202403","6","4001 - 5000",6,537,182
"202410","4","3001 - 4000",3,1083,410
"202403","1","4001 - 5000",4,979,92
"202410","3","7001 - 8000",7,937,309
"202405","3","1001 - 2000",8,453,92
"202408","3","6001 - 7000",1,277,49
"202407","4","7001 - 8000",3,3736,1495
"202406","5","1001 - 2000",3,1,0
"202408","4","7001 - 8000",4,3588,1383
General,"8","7001 - 8000",7,3,1
"202408","7","8001 - 9000",2,2,2
"202408","4","7001 - 8000",2,3588,969
"202501","1","1001 - 2000",1,6989,709
"202407","1","4001 - 5000",3,1199,138
"202502","6","3001 - 4000",6,137,47
"202507","3","2001 - 3000",1,1243,49
"202503","4","7001 - 8000",3,3099,1009
"202404","6","2001 - 3000",4,144,38
"202411","5","6001 - 7000",7,3,2
"202406","6","6001 - 7000",3,363,99
"202411","1","6001 - 7000",2,266,43
"202406","3","1001 - 2000",6,406,89
"202410","6","5001 - 6000",2,570,122
"202411","5","4001 - 5000",5,5,1
"202402","6","2001 - 3000",2,128,23
"202401","1","5001 - 6000",3,333,40
"202407","4","7001 - 8000",4,3736,1595
"202405","4","4001 - 5000",5,1344,449
"202405","6","1001 - 2000",7,43,13
"202405","5","7001 - 8000",3,9,1
"202408","2","2001 - 3000",5,160,34
"202406","5","2001 - 3000",1,6,0
"202412","5","7001 - 8000",2,11,3
"202401","7","9001 - 10000",6,160,45
"202405","2","1001 - 2000",4,211,37
"202403","7","10000 +",6,157,41
"202403","2","4001 - 5000",3,70,9
"202401","2","6001 - 7000",2,15,4
General,"4",   0 - 1000,8,85,22
"202412","2","2001 - 3000",3,99,26
"202404","6","2001 - 3000",1,144,12
"202404","1","3001 - 4000",3,1986,203
"202402","1","5001 - 6000",4,331,33
"202406","2","1001 - 2000",8,203,35
"202503","4","3001 - 4000",5,917,311
"202411","4","5001 - 6000",5,1047,508
"202405","3","5001 - 6000",8,530,166
"202403","5","5001 - 6000",8,3,3
"202404","1",   0 - 1000,2,3031,278
"202402","8","9001 - 10000",2,438,69
"202406","4","2001 - 3000",5,889,254
"202409","3","5001 - 6000",5,518,182
"202504","6","1001 - 2000",4,43,4
"202403","3","1001 - 2000",7,514,118
"202406","2","4001 - 5000",1,64,9
"202406","4","1001 - 2000",5,288,89
"202403","2","1001 - 2000",3,240,39
"202412","8","7001 - 8000",1,1,0
"202503","5","1001 - 2000",2,1,0
"202503","7","8001 - 9000",1,2,0
"202402","7","9001 - 10000",1,175,11
"202402","3","2001 - 3000",4,860,212
"202406","2","1001 - 2000",2,203,35
"202410","5","7001 - 8000",6,14,7
"202406","1","4001 - 5000",7,1091,105
General,"2","6001 - 7000",2,220,47
"202502","1","3001 - 4000",5,2382,272
"202504","1",   0 - 1000,3,3069,261
"202410","1","3001 - 4000",5,2931,318
"202403","5","2001 - 3000",4,3,1
"202406","5","5001 - 6000",8,6,2
"202402","5","7001 - 8000",8,11,3
"202406","2","5001 - 6000",1,38,4
"202405","3","5001 - 6000",1,530,89
"202505","7","10000 +",1,485,16
"202408","6","6001 - 7000",5,383,157
"202408","7","8001 - 9000",6,2,2
"202501","5","3001 - 4000",7,4,1
"202403","4","1001 - 2000",3,343,83
"202410","6","7001 - 8000",3,2749,920
"202411","1","4001 - 5000",2,1436,199
"202408","2","5001 - 6000",1,31,5
"202408","2",   0 - 1000,6,12,1
"202409","6","6001 - 7000",1,329,48
"202504","6","4001 - 5000",4,451,119
"202410","2","1001 - 2000",4,168,28
"202411","3","3001 - 4000",3,1004,337
"202409","2","5001 - 6000",6,33,7
"202402","4","6001 - 7000",8,626,236
"202405","6","1001 - 2000",8,43,13
"202411","1","5001 - 6000",8,742,109
"202405","4","6001 - 7000",8,651,250
"202506","1","5001 - 6000",1,524,81
"202407","3","1001 - 2000",3,468,116
"202401","2","1001 - 2000",3,212,45
General,"7","9001 - 10000",5,2418,678
"202407","4","5001 - 6000",2,1261,399
"202403","6","7001 - 8000",6,3201,1197
"202504","2","4001 - 5000",4,34,6
"202410","3",   0 - 1000,2,6,1
"202412","1","2001 - 3000",4,5798,985
"202412","1",   0 - 1000,4,2910,420
"202501","2","6001 - 7000",4,10,2
"202405","8","9001 - 10000",2,391,63
"202501","4","5001 - 6000",3,772,248
"202407","5","2001 - 3000",2,3,2
"202403","8","9001 - 10000",7,517,175
"202409","3","5001 - 6000",4,518,182
"202411","4","6001 - 7000",2,625,265
"202411","1","6001 - 7000",1,266,43
"202408","5","5001 - 6000",6,5,1
"202402","2","5001 - 6000",8,45,9
"202402","3","6001 - 7000",4,233,73
"202501","5","6001 - 7000",5,2,0
"202504","2","5001 - 6000",1,21,1
"202402","2","5001 - 6000",6,45,9
"202412","6","6001 - 7000",3,411,132
"202407","1","2001 - 3000",1,5477,687
"202411","6","5001 - 6000",8,573,254
"202412","8","10000 +",4,2645,767
"202408","5","6001 - 7000",5,4,1
"202406","6","4001 - 5000",2,569,86
"202411","5","5001 - 6000",2,4,1
"202408","5","6001 - 7000",6,4,1
"202411","2","1001 - 2000",1,184,18
"202409","5","5001 - 6000",8,3,1
"202405","2","5001 - 6000",2,41,3
"202410","2","4001 - 5000",7,76,20
"202403","7","9001 - 10000",8,176,53
General,"2",   0 - 1000,5,187,41
"202401","2","3001 - 4000",1,105,11
"202412","5","3001 - 4000",3,2,0
"202503","5","1001 - 2000",1,1,0
"202410","3","3001 - 4000",1,990,111
"202406","6","5001 - 6000",7,618,195
"202411","4","1001 - 2000",4,184,73
"202401","1","7001 - 8000",6,452,40
"202411","5","7001 - 8000",3,11,3
"202405","7","10000 +",4,140,43
"202409","6","5001 - 6000",6,479,200
"202407","3","4001 - 5000",2,823,218
"202409","6","6001 - 7000",2,329,77
"202409","4","4001 - 5000",7,1206,480
"202412","3","6001 - 7000",5,414,165
General,"5","1001 - 2000",7,16,4
"202402","6","2001 - 3000",7,128,40
"202506","1","6001 - 7000",1,194,36
"202410","8","10000 +",4,1684,482
"202411","5","5001 - 6000",1,4,0
"202504","5","5001 - 6000",2,2,1
"202404","1","7001 - 8000",6,570,53
"202409","8","8001 - 9000",8,18,6
"202412","5","4001 - 5000",6,7,4
"202407","8","8001 - 9000",3,23,8
"202401","6","2001 - 3000",7,120,28
"202402","3","7001 - 8000",7,639,164
"202408","5","4001 - 5000",8,6,2
"202503","2",   0 - 1000,3,6,2
"202404","2","1001 - 2000",6,239,28
"202505","6","5001 - 6000",3,521,141
"202411","3","1001 - 2000",8,432,126
"202405","3","6001 - 7000",4,255,87
General,"3","3001 - 4000",4,13852,4019
"202405","4",   0 - 1000,1,7,0
"202411","5","3001 - 4000",4,1,1
"202407","4","6001 - 7000",5,853,392
"202503","3","6001 - 7000",5,338,114
"202502","3",   0 - 1000,2,8,2
"202401","2","7001 - 8000",7,79,11
"202410","6","1001 - 2000",2,31,4
"202410","6","2001 - 3000",5,88,31
"202407","5","4001 - 5000",3,11,1
"202412","8","9001 - 10000",8,491,201
General,"4","5001 - 6000",7,14727,5835
"202403","6","2001 - 3000",4,147,31
General,"1","5001 - 6000",7,6790,804
"202501","4","4001 - 5000",5,827,284
General,"1","7001 - 8000",6,9520,972
"202407","4","6001 - 7000",6,853,392
"202407","3","2001 - 3000",7,1016,285
"202412","5","5001 - 6000",6,1,1
"202501","8","7001 - 8000",5,1,0
"202405","6","3001 - 4000",7,271,72
"202407","3","4001 - 5000",7,823,246
"202407","5","3001 - 4000",2,7,2
"202404","3","2001 - 3000",2,1039,183
"202412","8","10000 +",8,2645,966
"202411","3",   0 - 1000,4,7,3
"202406","8","9001 - 10000",3,465,75
"202404","4",   0 - 1000,1,6,0
"202406","3","3001 - 4000",5,793,213
General,"4","2001 - 3000",7,10207,3162
"202412","6","10000 +",5,2,0
"202407","1","2001 - 3000",8,5477,704
General,"8","9001 - 10000",3,6579,1428
General,"3","6001 - 7000",1,5416,957
"202403","2","6001 - 7000",1,13,2
"202406","3","3001 - 4000",1,793,93
"202404","5","7001 - 8000",7,13,5
"202408","7","10000 +",6,216,66
"202408","3","5001 - 6000",2,565,193
"202407","5","2001 - 3000",1,3,1
"202403","8","9001 - 10000",4,517,138
"202402","6","7001 - 8000",4,2924,978
"202409","1","4001 - 5000",1,1066,105
"202411","7","8001 - 9000",1,3,1
General,"3","7001 - 8000",7,10731,3352
"202406","1","7001 - 8000",1,653,53
"202405","1","4001 - 5000",7,1109,120
"202503","1","5001 - 6000",2,546,59
"202505","4","1001 - 2000",3,213,47
"202411","1","7001 - 8000",2,823,100
"202405","7","9001 - 10000",3,183,35
"202405","2",   0 - 1000,7,24,7
"202404","4","2001 - 3000",8,971,288
"202410","4","5001 - 6000",6,1142,521
"202411","3","6001 - 7000",6,362,156
"202501","5","6001 - 7000",6,2,0
"202412","1","4001 - 5000",2,1493,230
"202405","6","5001 - 6000",8,589,208
"202412","4","6001 - 7000",3,715,305
"202401","4","6001 - 7000",8,633,265
"202503","4","4001 - 5000",5,965,331
"202406","1",   0 - 1000,8,2928,283
"202404","2","6001 - 7000",2,20,1
"202503","5","7001 - 8000",1,11,2
"202408","7","10000 +",1,216,13
"202409","1","3001 - 4000",3,2394,265
"202506","1","7001 - 8000",2,687,112
"202501","4","4001 - 5000",2,827,210
"202401","4","5001 - 6000",6,1010,368
"202501","2","4001 - 5000",6,40,8
"202410","4","6001 - 7000",7,723,345
"202409","5","6001 - 7000",2,3,0
"202504","4","1001 - 2000",3,224,36
"202412","2",   0 - 1000,8,5,3
"202403","8","8001 - 9000",1,16,4
"202406","4","4001 - 5000",3,1368,444
"202403","3","5001 - 6000",4,527,154
General,"2","3001 - 4000",8,1190,227
"202405","6","7001 - 8000",2,2655,509
"202405","4","5001 - 6000",2,1159,287
"202406","6","5001 - 6000",5,618,187
"202412","6","6001 - 7000",5,411,159
"202402","2","5001 - 6000",3,45,9
"202411","6","3001 - 4000",7,199,71
"202501","1","1001 - 2000",5,6989,756
"202412","2","5001 - 6000",5,35,15
"202406","6","2001 - 3000",3,124,21
"202410","4","4001 - 5000",3,1168,446
"202403","5","1001 - 2000",6,1,0
"202406","8","8001 - 9000",7,14,4
"202411","3","3001 - 4000",5,1004,338
"202406","1",   0 - 1000,6,2928,283
"202407","7","9001 - 10000",7,183,71
"202404","2","6001 - 7000",3,20,1
"202408","4",   0 - 1000,2,12,3
"202403","6","5001 - 6000",7,629,223
"202503","6","5001 - 6000",2,487,114
"202407","3","6001 - 7000",3,298,118
"202410","5","5001 - 6000",7,1,0
"202405","4",   0 - 1000,3,7,0
"202505","5","6001 - 7000",1,4,2
"202401","6","3001 - 4000",1,282,21
"202401","4","2001 - 3000",4,810,233
General,"2","4001 - 5000",2,999,189
"202409","1","7001 - 8000",1,636,63
"202407","1","4001 - 5000",4,1199,138
"202405","2",   0 - 1000,4,24,7
"202408","5","2001 - 3000",7,3,2
"202410","2","7001 - 8000",7,96,23
General,"2","2001 - 3000",2,2259,443
General,"2","7001 - 8000",4,1617,296
"202405","3","3001 - 4000",4,766,190
"202404","3","4001 - 5000",2,738,173
General,"1","4001 - 5000",8,13662,1567
"202402","4","5001 - 6000",8,1097,438
"202403","1","3001 - 4000",4,2121,212
"202402","5","1001 - 2000",6,1,1
"202411","4","2001 - 3000",1,554,72
"202404","1",   0 - 1000,5,3031,278
General,"1","6001 - 7000",6,2934,374
"202501","5","4001 - 5000",3,6,2
"202501","1","6001 - 7000",1,262,33
"202501","3","2001 - 3000",2,1026,186
"202411","1","1001 - 2000",7,7684,1069
"202407","5","5001 - 6000",6,4,2
"202503","6","1001 - 2000",4,37,9
"202408","7","10000 +",2,216,29
"202403","6","2001 - 3000",8,147,44
"202401","3","3001 - 4000",1,691,95
"202504","5","5001 - 6000",3,2,1
